id_oferty,dzielnica,metraz_m2,liczba_pokoi,pietro,rok_budowy,ma_balkon,ma_miejsce_parkingowe,odleglosc_od_centrum_km,cena_pln
10056,Śródmieście,52.8,3,8,1980,False,False,4.61,1084995.0
10057,Mokotów,33.3,2,10,2019,True,True,4.78,630189.0
10058,Praga-Południe,30.7,2,7,2002,True,True,3.4,466204.0
10059,Wola,59.0,4,5,1977,True,False,4.2,982273.0
10060,Targówek,85.6,5,9,1981,True,False,1.98,790472.0
10061,Praga-Południe,75.2,4,6,2015,True,True,6.93,1235857.0
10062,Wola,20.4,1,8,1957,False,False,8.96,238528.0
10063,Bemowo,33.2,1,6,2024,True,False,4.89,596433.0
10064,Bemowo,75.7,5,2,1968,False,False,4.8,784325.0
10065,Ochota,33.4,1,5,2014,True,False,5.8,480962.0
10066,Praga-Południe,50.1,3,10,1990,True,True,12.84,565645.0
10067,Bemowo,67.1,4,10,1997,True,True,5.18,956030.0
10068,Wola,33.7,3,6,2019,True,False,5.49,587112.0
10069,Ochota,57.3,3,1,1992,False,False,21.41,566048.0
10070,Wola,25.7,2,2,2000,True,True,4.68,380910.0
10071,Ochota,41.8,3,3,1958,True,False,6.82,509174.0
10072,Praga-Południe,62.0,3,9,1950,True,False,6.63,649766.0
10073,Targówek,20.0,1,5,1979,False,False,4.26,223182.0
10074,Białołęka,64.7,3,0,2008,True,False,7.11,851053.0
10075,Bielany,54.6,3,8,1967,True,False,1.75,700779.0
10076,Targówek,67.2,3,4,1966,True,True,4.79,670680.0
10077,Ursynów,59.9,3,11,1992,True,False,2.78,867827.0
10078,Wola,85.0,5,6,2006,True,False,7.22,1399538.0
10079,Ursynów,57.8,3,8,2010,False,True,1.52,960834.0
10080,Targówek,45.6,3,8,1973,True,True,8.22,436422.0
10081,Ochota,57.7,3,0,1962,True,False,0.5,910078.0
10082,Bielany,67.0,4,0,2022,True,True,6.93,997263.0
10083,Bielany,56.1,3,2,1980,True,False,2.44,649984.0
10084,Mokotów,55.9,3,5,2017,True,True,3.52,1148863.0
10085,Bielany,39.6,2,1,2018,False,True,4.62,610524.0
10086,Białołęka,40.4,3,9,2013,False,False,13.41,484094.0
10087,Bielany,24.1,2,11,1972,False,True,2.41,352460.0
10088,Targówek,93.5,5,10,2016,False,False,5.31,1351839.0
10089,Mokotów,27.6,2,0,2013,True,False,11.18,452883.0
10090,Targówek,39.8,2,0,2003,True,True,5.48,601421.0
10091,Targówek,39.2,3,4,1986,True,True,7.61,4827611.2009650795
10092,Wilanów,74.7,5,3,1980,True,True,10.24,1326904.0
10093,Śródmieście,48.5,3,0,1967,True,True,3.46,926393.0
10094,Mokotów,82.5,5,3,1998,True,False,3.76,1677106.0
10095,Targówek,40.2,1,2,2003,True,True,2.38,671391.0
10096,Śródmieście,61.1,3,1,1988,False,True,11.27,1100407.0
10097,Śródmieście,36.6,2,8,1996,True,False,14.67,636098.0
10098,Mokotów,102.2,6,10,1988,False,True,1.88,1977474.0
10099,Wilanów,28.9,1,0,2006,True,True,6.45,463553.0
10100,Ursynów,61.8,4,6,2020,True,True,3.49,1101182.0
10101,Ochota,68.9,5,3,1971,True,False,3.64,1136746.0
10102,Białołęka,64.1,4,4,1989,True,False,7.87,819383.0
10103,Ochota,50.9,3,9,1969,True,False,5.61,616239.0
10104,Bielany,52.1,2,4,2005,True,True,7.42,810928.0
10105,Białołęka,56.0,3,0,2011,True,True,14.42,601621.0
10106,Bielany,51.8,4,5,2021,True,False,6.66,757564.0
10107,Targówek,76.2,5,8,1982,True,False,8.05,913539.0
10108,Wola,103.6,6,1,2022,True,False,10.01,1802527.0
10109,Mokotów,42.7,2,6,1960,True,True,3.24,714868.0
10110,Białołęka,24.9,1,5,2004,True,True,8.54,373668.0
10111,Białołęka,53.1,2,4,1959,True,False,3.57,466555.0
10112,Targówek,111.8,6,3,2019,True,False,2.04,1678720.0
10113,Ursynów,37.3,1,3,1999,True,False,7.04,489694.0
10114,Śródmieście,91.1,5,5,2008,True,False,2.23,2010542.0
10115,Targówek,91.9,6,3,2016,False,False,5.64,1119096.0
10116,Bemowo,42.8,2,4,1970,True,False,4.81,559218.0
10117,Wilanów,67.5,4,5,1956,True,False,12.22,962685.0
10118,Śródmieście,90.8,6,4,2019,True,False,2.22,2310226.0
10119,Mokotów,46.7,3,6,1984,True,False,6.69,646489.0
10120,Śródmieście,50.5,4,8,1967,True,True,3.0,993385.0
10121,Ursynów,42.2,2,9,1995,True,True,1.52,632094.0
10122,Śródmieście,32.7,2,6,2004,True,False,0.94,685361.0
10123,Mokotów,40.7,2,6,1955,True,False,2.28,541219.0
10124,Ursynów,28.1,2,3,1981,True,False,2.2,415480.0
10125,Ochota,55.7,3,0,1955,True,True,0.98,844626.0
10126,Białołęka,38.1,2,7,1992,True,True,9.26,506145.0
10127,Białołęka,60.1,3,3,2019,True,False,10.79,806090.0
10128,Wilanów,20.8,1,0,2024,True,True,3.13,433646.0
10129,Bielany,62.3,4,4,2006,False,True,3.98,1061085.0
10130,Ochota,73.3,4,7,1971,False,True,4.57,1124031.0
10131,Ochota,18.0,1,3,2020,True,False,9.99,272279.0
10132,Śródmieście,63.2,4,11,1999,True,True,10.12,1269724.0
10133,Białołęka,82.0,5,7,1970,True,False,6.61,796066.0
10134,Mokotów,28.4,2,7,2021,True,True,6.47,508947.0
10135,Praga-Południe,91.8,5,2,2012,False,False,3.73,1358256.0
10136,Praga-Południe,64.2,3,8,2011,False,False,0.95,1000383.0
10137,Ursynów,39.5,3,2,2010,True,True,4.45,617990.0
10138,Białołęka,53.8,4,0,1975,True,True,11.21,489137.0
10139,Białołęka,67.3,4,1,1976,True,True,3.35,750523.0
10140,Wilanów,56.7,3,5,2009,True,False,4.17,1082375.0
10141,Praga-Południe,66.9,3,11,1976,False,True,8.75,635890.0
10142,Białołęka,34.7,3,9,1993,False,True,4.05,505467.0
10143,Wilanów,58.7,4,1,2014,True,False,4.57,1223047.0
10144,Śródmieście,23.9,2,5,2014,True,True,8.88,553916.0
10145,Bemowo,52.6,2,0,1994,True,True,0.94,899966.0
10146,Wola,35.1,2,10,2014,True,False,2.16,645894.0
10147,Ochota,38.8,2,0,2017,False,False,15.53,545805.0
10148,Bielany,82.2,5,4,2007,True,True,8.84,1060189.0
10149,Ursynów,79.0,4,9,1977,True,True,9.58,1222810.0
10150,Bemowo,68.4,3,10,1981,True,False,6.5,816415.0
10151,Praga-Południe,31.0,2,8,1984,False,True,7.04,378504.0
10152,Wilanów,48.0,3,7,1966,True,False,3.44,926690.0
10153,Ochota,81.7,4,2,1981,False,True,17.5,934225.0
10154,Białołęka,58.1,4,2,1976,False,False,4.43,697154.0
10155,Bielany,106.0,6,0,1995,False,True,9.76,1479329.0
10156,Białołęka,63.7,4,2,2020,True,False,3.85,772036.0
10157,Mokotów,59.2,3,11,1965,True,True,3.35,861072.0
10158,Mokotów,48.2,3,11,2010,True,False,5.29,1009843.0
10159,Bielany,57.9,3,11,2009,True,True,6.53,952885.0
10160,Wilanów,51.6,3,10,1964,True,True,11.65,745744.0
10161,Bielany,70.6,3,0,2021,True,False,24.17,700461.0
10162,Praga-Południe,76.0,5,7,2002,True,False,2.63,1109214.0
10163,Bielany,37.7,1,0,1988,False,False,8.21,480857.0
10164,Śródmieście,25.7,2,4,2012,True,True,5.7,614995.0
10165,Białołęka,18.0,1,8,1980,True,False,1.17,249837.0
10166,Bemowo,66.2,4,6,2009,False,True,13.25,786076.0
10167,Targówek,30.7,1,3,1956,False,False,4.09,266564.0
10168,Wilanów,18.0,1,10,2017,False,False,3.92,365446.0
10169,Bielany,63.5,4,8,1994,True,True,13.24,1023208.0
10170,Ursynów,109.8,5,8,2006,False,False,5.18,1741589.0
10171,Mokotów,54.9,4,1,1977,True,False,10.92,870737.0
10172,Śródmieście,73.4,4,9,2008,True,True,4.57,1725260.0
10173,Ochota,56.8,3,9,2013,True,False,7.48,929400.0
10174,Targówek,52.8,2,10,1996,True,True,4.95,757918.0
10175,Wilanów,75.2,5,11,2005,True,False,2.96,1420103.0
10176,Bemowo,48.6,2,5,1995,True,True,7.64,800803.0
10177,Targówek,60.9,3,3,2019,True,True,8.77,984713.0
10178,Bielany,62.1,4,7,1997,True,True,5.42,896051.0
10179,Praga-Południe,40.3,2,11,2017,True,False,0.96,523284.0
10180,Mokotów,76.8,4,10,2015,False,False,2.22,1397583.0
10181,Mokotów,51.2,3,6,1992,True,False,3.71,777027.0
10182,Ochota,38.4,2,6,1977,True,True,12.61,512237.0
10183,Praga-Południe,66.8,4,10,1991,True,True,5.22,820292.0
10184,Białołęka,35.2,2,9,2016,False,False,12.48,468577.0
10185,Wola,55.6,3,8,1977,False,False,10.11,772862.0
10186,Śródmieście,54.8,3,4,1999,True,True,3.91,1309736.0
10187,Mokotów,78.9,5,5,2015,True,True,6.19,1662206.0
10188,Ursynów,65.4,4,0,1987,True,False,8.91,901059.0
10189,Mokotów,54.4,2,5,2006,False,True,3.08,1065050.0
10190,Targówek,73.0,4,1,1979,False,False,8.48,937971.0
10191,Mokotów,85.6,6,5,1965,False,False,7.85,1107238.0
10192,Wilanów,67.3,3,8,2014,True,False,2.95,1387952.0
10193,Mokotów,55.2,3,7,1964,True,False,7.38,676561.0
10194,Wola,26.1,2,8,1981,False,True,5.05,406924.0
10195,Wola,31.6,2,9,2017,True,False,1.84,695155.0
10196,Bemowo,48.3,2,7,1987,True,False,3.71,718108.0
10197,Białołęka,41.6,3,2,2023,True,True,3.61,639622.0
10198,Ursynów,50.9,4,7,2024,False,False,13.99,706960.0
10199,Mokotów,56.2,3,5,1981,True,True,2.25,995408.0
10200,Mokotów,66.7,3,5,1956,True,False,3.35,964907.0
10201,Śródmieście,53.4,2,5,2010,True,False,6.96,1101011.0
10202,Wola,65.7,4,2,1994,False,False,5.61,1040253.0
10203,Ursynów,56.4,4,9,1964,True,True,4.72,810556.0
10204,Ochota,18.0,1,0,2010,True,True,4.66,321117.0
10205,Bemowo,34.3,2,11,1955,True,False,9.64,366088.0
10206,Białołęka,51.8,3,3,2018,False,False,3.0,727397.0
10207,Praga-Południe,28.4,1,9,1969,False,True,2.38,329549.0
10208,Białołęka,68.2,4,11,1967,False,True,0.93,857738.0
10209,Wilanów,88.7,5,5,1972,True,True,3.85,1631863.0
10210,Targówek,81.8,4,10,2023,False,False,1.93,1368946.0
10211,Wilanów,50.3,4,11,2009,True,False,4.34,973861.0
10212,Mokotów,87.8,5,9,2015,True,False,1.23,1638497.0
10213,Bemowo,58.3,4,1,1991,True,False,4.3,794155.0
10214,Targówek,47.6,2,6,1986,True,False,6.6,489660.0
10215,Ursynów,41.5,2,6,1978,False,True,5.25,617605.0
10216,Praga-Południe,48.3,3,10,1996,True,True,8.03,506836.0
10217,Wola,46.5,3,3,2001,True,False,10.7,768304.0
10218,Bemowo,58.7,4,3,2006,True,False,6.49,937797.0
10219,Bemowo,58.5,4,0,1980,True,False,5.34,494622.0
10220,Wilanów,55.1,3,1,2022,True,False,7.09,1155727.0
10221,Mokotów,64.6,3,8,1972,True,False,6.64,1043780.0
10222,Bielany,81.2,5,9,2023,True,False,8.96,1157259.0
10223,Wilanów,75.9,4,7,1952,True,True,5.58,1003640.0
10224,Bemowo,22.3,2,7,1996,True,True,2.08,324364.0
10225,Śródmieście,18.0,1,8,1986,False,False,10.38,286330.0
10226,Praga-Południe,75.6,5,6,1994,True,False,1.3,1197806.0
10227,Wilanów,24.9,2,8,2002,False,True,8.48,421385.0
10228,Praga-Południe,50.1,3,9,1993,False,False,6.99,669263.0
10229,Śródmieście,29.3,1,11,1992,False,True,7.11,581048.0
10230,Ochota,18.0,1,1,2011,True,True,5.69,318491.0
10231,Śródmieście,66.9,4,5,2009,True,False,3.25,1342058.0
10232,Śródmieście,71.7,4,2,2016,False,True,5.02,1532773.0
10233,Praga-Południe,42.3,2,10,1979,True,False,11.3,544705.0
10234,Białołęka,18.0,1,5,2004,True,True,7.25,238246.0
10235,Praga-Południe,43.0,2,2,2003,True,False,7.3,583970.0
10236,Bielany,63.6,2,7,1989,True,True,11.48,1002482.0
10237,Mokotów,22.5,1,10,1997,False,False,12.31,315669.0
10238,Targówek,59.0,3,3,1850,True,False,8.73,660629.0
10239,Białołęka,54.7,2,11,1969,True,False,16.56,583973.0
10240,Wola,67.7,3,9,1976,True,True,7.22,1035046.0
10241,Targówek,57.6,2,5,1965,True,True,8.71,675127.0
10242,Mokotów,33.6,1,8,2008,True,True,9.92,645400.0
10243,Wilanów,81.3,4,1,2007,True,True,11.93,1443734.0
10244,Bielany,51.5,4,1,2022,True,False,2.76,895213.0
10245,Bielany,54.4,3,6,2011,True,False,1.94,842412.0
10246,Wola,34.5,2,1,1958,False,False,2.19,507625.0
10247,Białołęka,45.2,3,1,2019,True,False,3.87,664995.0
10248,Ochota,35.5,2,3,2018,True,True,10.13,585775.0
10249,Śródmieście,51.2,3,8,1994,True,True,4.59,1139388.0
10250,Białołęka,92.7,5,7,2003,True,True,5.04,948946.0
10251,Ochota,24.8,2,1,2023,False,False,1.94,474776.0
10252,Bielany,19.5,2,7,2000,False,False,2.12,239522.0
10253,Praga-Południe,87.4,4,3,2020,True,True,3.78,1272916.0
10254,Mokotów,50.4,2,1,1962,True,True,3.14,764735.0
10255,Wola,40.3,2,10,1974,True,False,8.83,439737.0
10256,Mokotów,77.9,4,9,1994,True,False,1.94,1422402.0
10257,Ursynów,41.7,3,6,2003,True,False,2.32,681910.0
10258,Ursynów,95.2,5,5,2016,False,True,6.62,1459939.0
10259,Wilanów,69.9,5,9,2024,True,True,4.63,1440926.0
10260,Białołęka,44.3,3,4,1990,False,False,4.37,470816.0
10261,Bielany,102.5,6,10,1957,True,False,10.05,1169894.0
10262,Bielany,41.7,3,0,2015,True,True,4.46,589523.0
10263,Śródmieście,71.3,5,1,2004,True,False,5.55,1463475.0
10264,Śródmieście,61.6,3,7,1975,True,False,3.81,1023863.0
10265,Śródmieście,83.6,4,0,1997,True,True,5.05,1960529.0
10266,Praga-Południe,89.4,5,2,2012,True,True,9.02,1235526.0
10267,Targówek,55.7,4,1,2013,True,True,4.14,896079.0
10268,Bemowo,38.4,2,4,1997,True,True,6.13,643037.0
10269,Targówek,65.1,3,3,1984,True,False,4.18,929112.0
10270,Mokotów,40.1,2,6,2023,True,True,0.89,815912.0
10271,Targówek,99.3,5,4,2007,True,False,3.21,1433843.0
10272,Praga-Południe,58.0,3,7,1991,True,False,3.73,861835.0
10273,Wilanów,47.0,4,3,1982,True,True,5.52,877954.0
10274,Mokotów,59.1,3,11,2011,True,False,7.9,1087075.0
10275,Targówek,25.4,2,5,1978,True,False,4.75,233830.0
10276,Praga-Południe,33.6,3,3,1972,True,False,4.08,435276.0
10277,Bemowo,81.4,6,1,1999,False,False,6.42,974547.0
10278,Targówek,40.5,2,0,1982,True,True,5.34,566726.0
10279,Praga-Południe,32.0,2,0,2005,True,False,1.92,492906.0
10280,Śródmieście,66.8,4,7,1966,False,False,12.52,1048101.0
10281,Bielany,81.1,5,3,2007,True,False,4.29,1189064.0
10282,Śródmieście,70.8,4,4,1982,True,True,5.34,1602131.0
10283,Bielany,76.9,4,10,1950,False,False,1.61,907394.0
10284,Wola,38.4,1,7,1967,True,True,10.43,546750.0
10285,Wola,23.7,2,11,2021,False,False,3.9,381208.0
10286,Wola,88.0,5,6,2018,True,False,13.34,1407142.0
10287,Bemowo,47.9,3,7,1978,True,False,5.17,753063.0
10288,Śródmieście,49.5,4,7,2014,False,False,7.6,902208.0
10289,Bielany,84.2,4,5,2004,True,True,4.15,1426245.0
10290,Praga-Południe,67.2,4,9,2023,True,True,2.04,1217848.0
10291,Mokotów,65.0,5,1,1989,True,True,6.94,1279858.0
10292,Praga-Południe,102.6,5,5,2008,True,True,6.89,1610608.0
10293,Mokotów,40.8,2,0,1960,True,True,0.71,664619.0
10294,Ursynów,75.4,4,0,1991,True,False,1.88,1184354.0
10295,Praga-Południe,56.3,4,10,2023,True,False,10.29,742121.0
10296,Targówek,60.9,3,2,2000,True,True,3.91,992492.0
10297,Targówek,88.6,4,2,1982,True,False,8.2,809594.0
10298,Białołęka,66.2,3,10,1967,True,False,17.19,525355.0
10299,Śródmieście,66.8,3,4,2010,True,False,7.17,1456503.0
10300,Mokotów,78.6,4,0,2006,False,False,5.23,1455805.0
10301,Mokotów,47.0,3,9,1989,True,True,3.18,852445.0
10302,Wilanów,36.5,2,5,2022,True,False,6.44,661685.0
10303,Śródmieście,32.0,1,6,1953,False,False,6.92,476313.0
10304,Bemowo,18.0,2,9,1984,False,True,5.61,231636.0
10305,Białołęka,100.2,6,11,2021,True,True,8.41,1376177.0
10306,Bemowo,30.7,2,10,1985,False,True,2.2,417425.0
10307,Bemowo,50.1,3,2,1979,True,True,5.68,655575.0
10308,Bemowo,48.9,3,3,2000,False,True,5.24,586132.0
10309,Śródmieście,61.8,4,9,2016,True,False,3.54,1447969.0
10310,Bemowo,72.9,5,10,1965,True,True,6.81,987501.0
10311,Targówek,73.9,4,9,2022,True,False,2.03,1288093.0
10312,Wilanów,42.2,2,11,2014,False,False,3.03,845656.0
10313,Wilanów,51.3,4,9,1973,True,True,4.22,946169.0
10314,Wola,61.2,4,9,2010,True,True,4.67,1170419.0
10315,Ursynów,49.5,3,9,1990,True,True,7.04,607498.0
10316,Mokotów,90.4,4,2,1991,False,True,7.52,1508616.0
10317,Mokotów,65.8,3,0,2014,False,True,2.96,1290250.0
10318,Ursynów,71.2,4,7,2023,True,True,13.27,1209384.0
10319,Śródmieście,69.6,4,9,1967,True,False,6.77,1262167.0
10320,Praga-Południe,80.8,4,9,1992,True,False,15.69,850955.0
10321,Śródmieście,59.0,3,1,1996,True,True,11.78,1338893.0
10322,Mokotów,26.5,2,0,1989,False,True,3.61,488614.0
10323,Mokotów,63.8,4,7,1988,True,False,2.02,1120018.0
10324,Ursynów,40.7,2,6,1958,True,False,1.64,546787.0
10325,Bemowo,43.4,2,6,2009,True,False,0.8,689119.0
10326,Śródmieście,67.9,3,3,1993,True,False,6.19,1351751.0
10327,Bielany,82.2,4,10,1974,True,True,3.4,874047.0
10328,Ursynów,55.5,3,8,2016,True,True,7.81,841285.0
10329,Targówek,61.8,3,5,2015,True,False,3.53,839349.0
10330,Mokotów,92.4,5,1,1997,True,True,2.94,1813192.0
10331,Ursynów,60.3,3,0,1983,True,False,7.51,648975.0
10332,Śródmieście,112.2,6,0,2006,True,False,18.08,1814650.0
10333,Mokotów,67.4,2,8,1982,True,False,11.61,885235.0
10334,Praga-Południe,18.0,2,3,1978,False,True,7.59,218051.0
10335,Ursynów,71.6,5,4,2011,True,False,10.9,1065087.0
10336,Białołęka,63.4,3,2,1956,True,False,7.09,561488.0
10337,Mokotów,83.4,5,3,1964,True,True,0.71,1313673.0
10338,Śródmieście,69.8,3,11,1951,True,True,8.49,1086426.0
10339,Wola,52.0,4,7,1970,True,False,7.43,678793.0
10340,Bielany,28.1,3,3,1960,True,False,9.58,299904.0
10341,Ochota,50.4,3,8,2024,True,True,3.38,1072410.0
10342,Bemowo,36.3,3,8,1982,True,True,10.5,410589.0
10343,Ochota,42.2,2,5,1970,True,False,2.18,709905.0
10344,Śródmieście,67.9,3,1,1978,False,False,5.89,1076177.0
10345,Targówek,91.7,5,11,2021,False,False,5.3,1385050.0
10346,Targówek,63.7,4,9,1999,True,False,0.5,849846.0
10347,Wola,28.7,1,10,1988,True,True,3.67,453155.0
10348,Bemowo,64.8,3,6,2018,True,False,7.36,1085705.0
10349,Białołęka,81.3,4,8,1990,True,True,3.75,1097559.0
10350,Wola,41.6,2,5,1986,True,False,12.55,564944.0
10351,Wilanów,52.1,3,2,1975,False,False,6.21,751600.0
10352,Ochota,55.3,3,6,1989,True,True,4.46,850953.0
10353,Wola,37.7,2,4,1985,False,True,10.54,531572.0
10354,Ochota,69.3,3,0,2008,True,False,3.99,810548.0
10355,Mokotów,52.3,3,2,1982,False,True,2.33,741535.0
10356,Targówek,64.2,3,4,2002,True,True,7.73,918402.0
10357,Mokotów,35.5,3,6,1960,True,False,2.0,586496.0
10358,Bielany,45.4,3,2,1974,True,True,3.8,718836.0
10359,Wilanów,70.9,4,5,1991,True,False,5.51,1108596.0
10360,Bemowo,46.8,1,4,2022,True,True,4.43,810867.0
10361,Białołęka,93.0,5,0,1989,True,False,25.0,452931.0
10362,Ochota,46.2,3,9,2007,True,True,7.13,756373.0
10363,Białołęka,59.9,3,5,1980,True,True,4.97,822723.0
10364,Ochota,75.5,4,7,1967,False,False,3.46,8310393.642112275
10365,Śródmieście,23.8,2,0,1959,True,False,6.74,382173.0
10366,Wola,18.0,1,1,1984,True,True,10.81,268272.0
10367,Bielany,21.4,1,3,1971,True,True,1.44,343339.0
10368,Targówek,82.8,4,11,1972,False,False,6.62,851386.0
10369,Ochota,42.9,2,1,2013,True,False,4.77,720211.0
10370,Białołęka,111.3,6,10,1952,True,False,8.77,1292171.0
10371,Bielany,42.6,3,8,2001,True,False,5.55,587859.0
10372,Praga-Południe,59.1,3,9,1989,False,False,7.29,547633.0
10373,Praga-Południe,88.9,5,7,1998,False,True,16.3,1178966.0
10374,Mokotów,99.1,6,7,2001,True,False,8.95,1754297.0
10375,Targówek,100.4,6,3,1984,True,False,4.41,902931.0
10376,Śródmieście,81.6,5,4,1983,True,True,2.59,1753082.0
10377,Białołęka,77.5,4,3,2011,True,True,4.78,1119202.0
10378,Wola,68.0,4,8,2018,True,True,2.62,1497981.0
10379,Wola,72.1,5,1,1974,True,True,5.88,96525.78996815234
10380,Białołęka,42.9,2,10,1964,False,True,5.89,472803.0
10381,Bemowo,37.0,2,7,2020,True,False,1.71,615108.0
10382,Śródmieście,54.9,3,1,1987,True,False,5.77,1030190.0
10383,Bielany,51.3,3,0,2001,True,False,13.4,731759.0
10384,Ochota,45.0,2,9,1988,True,True,5.64,661126.0
10385,Bemowo,70.3,4,2,1967,False,True,4.08,835408.0
10386,Ochota,76.0,4,8,2003,True,False,8.51,1140483.0
10387,Ochota,56.9,3,11,1999,True,True,4.85,849537.0
10388,Bemowo,87.5,5,2,1975,True,False,5.12,1331748.0
10389,Mokotów,29.9,2,8,1994,True,False,10.54,455055.0
10390,Praga-Południe,50.7,2,6,2015,False,True,2.76,840463.0
10391,Ochota,39.2,3,9,2003,True,True,9.46,569304.0
10392,Bemowo,18.0,1,0,1964,False,False,1.63,234075.0
10393,Bemowo,53.2,3,9,2001,True,False,17.43,669613.0
10394,Wilanów,52.3,3,4,2010,False,False,2.82,1041911.0
10395,Ursynów,88.3,5,8,2014,True,False,5.72,1640714.0
10396,Mokotów,68.9,4,11,2005,False,True,12.12,1044748.0
10397,Targówek,32.5,2,2,1970,True,False,1.67,379934.0
10398,Ursynów,95.8,4,8,2010,True,True,3.75,1528948.0
10399,Ursynów,81.9,5,4,2008,True,True,9.0,1269711.0
10400,Białołęka,67.8,3,8,1954,True,False,1.18,791605.0
10401,Praga-Południe,50.0,2,9,1992,True,False,7.4,669351.0
10402,Bemowo,33.9,3,5,1986,True,True,6.72,556887.0
10403,Praga-Południe,46.8,2,8,2008,False,True,1.04,749275.0
10404,Śródmieście,79.0,4,6,1976,True,True,0.9,1696581.0
10405,Białołęka,96.5,5,6,2003,False,True,0.8,1207697.0
10406,Targówek,89.0,6,7,2020,False,True,6.51,1397174.0
10407,Praga-Południe,44.2,2,6,2015,True,False,3.15,644951.0
10408,Wola,30.4,1,11,2021,True,False,1.53,618651.0
10409,Ochota,58.1,4,8,2023,True,False,9.89,131436.6781581439
10410,Śródmieście,18.0,2,10,1951,True,False,12.7,288819.0
10411,Mokotów,62.1,3,8,2005,True,False,12.22,1000697.0
10412,Targówek,51.8,2,5,1992,False,False,5.73,694747.0
10413,Śródmieście,44.7,4,6,2018,True,False,0.94,1106359.0
10414,Ochota,19.9,2,1,1979,True,True,1.47,295397.0
10415,Białołęka,66.3,4,8,2024,True,False,2.18,941251.0
10416,Ochota,43.3,2,11,2004,False,False,3.29,594270.0
